## Generation 0 
{'pos_end_effector': array([-0.77336269,  2.71199336]), 'dist_end_effector': -2.9764991300680226, 'collision': False}
{'pos_end_effector': array([ 1.85413564, -2.2557076 ]), 'dist_end_effector': -4.465711403476512, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.5645566, 0.3976741]), 'dist_end_effector': -3.5866709381919955, 'collision': False}
{'pos_end_effector': array([-0.51651855,  3.59133511]), 'dist_end_effector': -3.8856666255998062, 'collision': False}
{'pos_end_effector': array([1.84911829, 2.69368128]), 'dist_end_effector': -4.69804538085177, 'collision': False}
{'pos_end_effector': array([0.55721436, 1.90762302]), 'dist_end_effector': -3.1903559171577296, 'collision': False}
{'pos_end_effector': array([ 4.95065139, -3.07436012]), 'dist_end_effector': -7.600213478475924, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.05869759, -1.36388188]), 'dist_end_effector': -2.4694958049101747, 'collision': False}
{'pos_end_effector': array([0.91716817, 3.10323655]), 'dist_end_effector': -4.259101687939888, 'collision': False}
{'pos_end_effector': array([ 2.42410324, -1.83248892]), 'dist_end_effector': -4.78860158652711, 'collision': False}
{'pos_end_effector': array([-2.34797917,  2.97344095]), 'dist_end_effector': -2.993733550286968, 'collision': False}
{'pos_end_effector': array([-0.98061224,  1.23179722]), 'dist_end_effector': -1.5988983068523246, 'collision': False}
{'pos_end_effector': array([ 4.95065139, -3.07436012]), 'dist_end_effector': -7.600213478475924, 'collision': False}
{'pos_end_effector': array([ 2.97061069, -2.43457774]), 'dist_end_effector': -5.534811597736069, 'collision': False}
{'pos_end_effector': array([0.43067012, 0.79803288]), 'dist_end_effector': -2.558322440504243, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.70987965, -1.36896923]), 'dist_end_effector': -1.881086724110108, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.27210398, -3.28070179]), 'dist_end_effector': -5.386453067912468, 'collision': False}
{'pos_end_effector': array([ 1.19935279, -3.52091053]), 'dist_end_effector': -4.757380504842433, 'collision': False}
{'pos_end_effector': array([-1.31149928,  3.07255032]), 'dist_end_effector': -3.1487455772967894, 'collision': False}
{'pos_end_effector': array([-3.08523988, -3.12966445]), 'dist_end_effector': -3.312483236262599, 'collision': False}
{'pos_end_effector': array([ 0.97998257, -4.04785261]), 'dist_end_effector': -5.0264706163968, 'collision': False}
{'pos_end_effector': array([ 1.15069241, -0.33905453]), 'dist_end_effector': -3.168883187745463, 'collision': False}
{'pos_end_effector': array([-2.30228713, -2.73169427]), 'dist_end_effector': -2.748368811048132, 'collision': False}
{'pos_end_effector': array([ 2.07472317, -1.84832813]), 'dist_end_effector': -4.474336353534092, 'collision': False}
{'pos_end_effector': array([5.00716935, 0.72765393]), 'dist_end_effector': -7.044849358937462, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
